姓名,住址,出生日期,国籍,民族,性别,婚姻状态,收入,工作单位,职业
尹晓明,湖南省佳市闵行通辽街,18/5/1973,日本,朝鲜族,男,单身,28081,阎記电子有限责任公司,白领
梁詩涵,宁夏回族自治区琴县璧山黄路I座,11/3/1988,韩国,高山族,女,单身,17563,莫記物业代理有限责任公司,收银员
谭子异,贵州省鑫县东丽潮州街,1/3/1971,中国,汉族,男,丧偶,45657,曹記顾问有限责任公司,工人
胡璐,北京市辖区石景山区苹果园街道办事处琅山村社区,29/4/1986,泰国,土家族,女,已婚,32658,晓明发展贸易有限责任公司,学生
邓杰宏,西藏自治区昌都地区江达县江达镇岗达村,16/11/1994,美国,白族,男,已婚,15000,致远有限责任公司,个体
田震南,山西省楠县萧山兴安盟路9361号,22/9/1982,中国,汉族,男,已婚,15000,何有限责任公司,工人
尹子异,山东淄博市临淄区齐都镇韶院村,16/3/1962,美国,白族,男,已婚,37863,任記工业有限责任公司,个体
梁宇宁,甘肃省玉英市大兴深圳路,13/9/1977,泰国,土家族,男,已婚,49678,云熙食品有限责任公司,学生
姚嘉伦,宁夏回族自治区固原市隆德县陈靳乡高阳村,28/2/2000,美国,白族,男,单身,50681,待业,个体
萧安琪,新疆维吾尔自治区红霞县梁平合山街1455号,8/12/1974,韩国,高山族,女,已婚,6518,秀英有限责任公司,收银员
朱宇宁,广东省惠州县安次呼和浩特街1199号,22/11/1987,中国台湾,壮族,男,已婚,41804,胡記有限责任公司,科研人员
贾岚,重庆市秀英市怀柔惠州路5433号,1/5/1969,韩国,高山族,女,已婚,67852,岚有限责任公司,收银员
汪致远,台湾省关岭县蓟州北镇街,19/12/1968,中国台湾,壮族,男,已婚,16554,林电讯有限责任公司,科研人员
何岚,湖北省海燕市东丽常路,23/9/1963,中国台湾,壮族,女,已婚,62421,睿食品有限责任公司,科研人员
韩杰宏,山东省临沂市平邑县郑城镇张庄村,9/6/2000,泰国,土家族,男,单身,20669,詩涵通讯有限责任公司,学生
方睿,四川自贡市贡井区艾叶镇竹林社区村,19/8/1968,中国台湾,壮族,男,已婚,18551,子异电脑有限责任公司,科研人员
范杰宏,福建省武汉市闵行徐街,15/6/1968,美国,白族,男,已婚,15728,杨有限责任公司,个体
曹睿,北京市武汉县黄浦上海街q座,19/9/1974,中国,汉族,男,已婚,18518,雷玩具有限责任公司,工人
徐致远,江苏省永安县安次李路G座,23/6/1997,菲律宾,苗族,男,已婚,57604,邹記有限责任公司,服务员
邱嘉伦,西藏林芝地区米林县里龙乡玉松村,20/6/1989,中国香港,回族,男,单身,51507,吕記通讯有限责任公司,教师
顾嘉伦,重庆市合肥市城东唐街9998号,28/10/1966,日本,朝鲜族,男,单身,27817,致远技术有限责任公司,白领
常子韬,河南省南昌县南湖沈阳路,13/5/1999,日本,朝鲜族,男,离异,35784,向記工程有限责任公司,白领
雷子异,重庆市梅县滨城乌鲁木齐街6644号,3/9/1964,泰国,土家族,男,丧偶,21597,璐系统有限责任公司,学生
张岚,湖北省兴城县南溪深圳路Q座,24/6/1974,美国,白族,女,已婚,53773,璐技术有限责任公司,个体
吴秀英,海南省霞县魏都阜新路6209号,12/11/1999,韩国,高山族,女,单身,18370,子异有限责任公司,收银员
钱璐,黑龙江省伟市淄川北京街o座,23/3/1970,泰国,土家族,女,已婚,29911,震南有限责任公司,学生
廖睿,内蒙古自治区凯县涪城辽阳路,6/10/2000,韩国,高山族,男,已婚,19173,致远有限责任公司,收银员
邓子韬,山西省健县沈河永安路l座,30/1/1962,中国台湾,壮族,男,单身,67550,致远发展贸易有限责任公司,科研人员
段杰宏,台湾省邯郸市门头沟石路,5/10/1967,菲律宾,苗族,男,单身,53695,彭記工业有限责任公司,服务员
林睿,上海市荆门县山亭辛集街,22/4/1983,中国香港,回族,男,已婚,15000,安琪有限责任公司,教师
李晓明,黑龙江省阳县龙潭乌鲁木齐街5047号,12/10/1966,中国台湾,壮族,男,已婚,61943,子异工程有限责任公司,科研人员
范子异,宁夏银川市兴庆区燕鸽湖管委会银燕园社区,18/2/1962,泰国,土家族,男,单身,22975,震南制药有限责任公司,学生
莫子异,新疆维吾尔自治区玉兰县高港沈阳街9297号,22/9/1976,日本,朝鲜族,男,单身,67346,武电脑有限责任公司,白领
吴秀英,广西壮族自治区嘉禾市沙市齐齐哈尔路8054号,6/11/1969,美国,白族,女,丧偶,47201,贾技术有限责任公司,个体
侯璐,重庆市晶市清浦兰州路,18/12/1993,泰国,土家族,女,单身,29883,杜記物业代理有限责任公司,学生
钟杰宏,甘肃省兰英县璧山李路,24/5/1962,韩国,高山族,男,已婚,44927,秦記通讯有限责任公司,收银员
